Symbol,Company,Sector,Industry,Current Price,Market Cap (B),52W High,52W Low,P/E Ratio,Forward P/E,PEG Ratio,Dividend Yield %,RSI (14),30D Volatility %,Beta,Return 1D %,Return 1M %,Return YTD %,Return 1Y %,Recommendation,Risk Level,Summary
AAPL,Apple Inc.,Technology,Consumer Electronics,251.08,3690.36,288.62,169.21,31.7421,26.936766,N/A,41.0,21.16,27.02,1.116,N/A,-5.02,-7.27,18.56,STRONG BUY,HIGH,Apple Inc. (AAPL) - Technology. RSI indicates oversold conditions Golden cross pattern (50 SMA > 200
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,393.77,2926.46,555.45,344.79,24.639862,20.89497,N/A,91.0,42.57,26.96,1.108,N/A,-1.23,-16.55,3.46,HOLD,MODERATE,Microsoft Corporation (MSFT) - Technology. Trading below 50-day SMA Death cross pattern (50 SMA < 20
GOOGL,Alphabet Inc.,Technology,Internet Content & Information,310.22,3752.79,349.0,140.53,28.671444,23.113914,N/A,27.0,53.49,23.4,1.112,N/A,2.34,-1.5,93.75,STRONG BUY,LOW,Alphabet Inc. (GOOGL) - Technology. Golden cross pattern (50 SMA > 200 SMA) Attractive dividend yiel
AMZN,Amazon.com Inc.,Consumer Cyclical,Internet Retail,211.02,2265.28,258.6,161.38,29.430964,22.588673,N/A,N/A,53.93,32.28,1.42,N/A,3.04,-6.83,9.44,SELL,MODERATE,Amazon.com Inc. (AMZN) - Consumer Cyclical. Trading below 50-day SMA Death cross pattern (50 SMA < 2
NVDA,NVIDIA Corporation,Technology,Semiconductors,182.6,4437.97,212.19,86.62,37.340492,16.584213,N/A,2.0,47.36,40.17,2.375,N/A,-2.86,-3.3,58.23,BUY,HIGH,NVIDIA Corporation (NVDA) - Technology. Golden cross pattern (50 SMA > 200 SMA) Strong profit margin
META,Meta Platforms Inc.,Technology,Internet Content & Information,618.57,1564.71,796.25,479.8,26.355774,17.239965,N/A,34.0,34.9,27.07,1.279,N/A,-3.75,-4.81,6.55,HOLD,MODERATE,Meta Platforms Inc. (META) - Technology. Trading below 50-day SMA Death cross pattern (50 SMA < 200 
TSLA,Tesla Inc.,Consumer Cyclical,Auto Manufacturers,397.71,1492.38,498.83,214.25,368.24997,141.51215,N/A,N/A,43.02,31.3,1.926,N/A,-3.31,-9.21,76.52,BUY,HIGH,Tesla Inc. (TSLA) - Consumer Cyclical. Golden cross pattern (50 SMA > 200 SMA) Strong 1-year return 
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,288.3,777.55,337.25,202.16,14.400599,12.272096,N/A,209.0,24.48,25.39,1.059,N/A,-6.63,-11.02,25.21,STRONG BUY,MODERATE,JPMorgan Chase & Co. (JPM) - Financial Services. RSI indicates oversold conditions Trading below 50-
V,Visa Inc.,Financial Services,Credit Services,301.84,581.96,375.51,299.0,28.36847,20.761648,N/A,87.0,25.51,21.98,0.791,N/A,-5.76,-12.7,-9.16,BUY,LOW,Visa Inc. (V) - Financial Services. RSI indicates oversold conditions Trading below 50-day SMA Death
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,237.8,573.07,251.71,141.5,21.578947,18.916403,N/A,218.0,39.63,16.41,0.326,N/A,-2.42,15.29,48.81,STRONG BUY,LOW,Johnson & Johnson (JNJ) - Healthcare. Golden cross pattern (50 SMA > 200 SMA) Low beta (defensive st
UNH,UnitedHealth Group Inc.,Healthcare,Healthcare Plans,286.67,260.2,606.36,234.6,21.66817,14.396559,N/A,307.0,52.3,30.08,0.38,N/A,0.24,-14.12,-41.49,SELL,MODERATE,UnitedHealth Group Inc. (UNH) - Healthcare. Death cross pattern (50 SMA < 200 SMA) Low beta (defensi
PG,Procter & Gamble Co.,Consumer Defensive,Household & Personal Products,148.16,346.77,174.8,137.62,21.91716,20.210949,N/A,279.0,24.43,22.28,0.34,N/A,-5.55,5.23,-9.23,STRONG BUY,LOW,Procter & Gamble Co. (PG) - Consumer Defensive. RSI indicates oversold conditions Golden cross patte
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,159.62,665.1,160.45,97.8,23.823881,18.452667,N/A,259.0,71.27,26.13,0.348,N/A,5.93,31.01,45.29,BUY,MODERATE,Exxon Mobil Corporation (XOM) - Energy. RSI indicates overbought conditions Trading above 50-day SMA
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,200.32,400.52,200.58,132.04,30.214931,21.371258,N/A,360.0,76.15,19.77,0.658,N/A,8.95,29.75,30.18,BUY,MODERATE,Chevron Corporation (CVX) - Energy. RSI indicates overbought conditions Trading above 50-day SMA Gol
HD,The Home Depot Inc.,Consumer Cyclical,Home Improvement Retail,334.93,333.43,426.75,326.31,23.520365,20.533365,N/A,273.0,22.15,22.46,1.044,N/A,-12.09,-2.5,-1.77,BUY,MODERATE,The Home Depot Inc. (HD) - Consumer Cyclical. RSI indicates oversold conditions Trading below 50-day
